customer_id,signup_month,tenure_months,plan_type,monthly_fee,num_profiles,watch_hours_last_month,binge_days_last_month,last_login_days_ago,auto_renew,genre_pref,has_kids_profile,device_type,num_devices_used,support_tickets_last_3mo,avg_watch_session_min,ads_watched_last_month,payment_method,is_churned
OTT1000,Feb,18,Basic,599,5,54.0,2,27,No,Action,Yes,Smart TV,5,1,40.9,51,UPI,1
OTT1001,,3,Basic,599,4,10.9,4,13,No,Comedy,No,Smart TV,2,1,60.9,46,UPI,1
OTT1002,Feb,20,Standard,199,2,31.3,1,21,Yes,Documentary,No,Tablet,4,1,58.9,30,UPI,1
OTT1003,Jul,35,Basic,599,5,34.1,3,25,Yes,Comedy,No,Laptop,5,0,,36,UPI,1
OTT1004,Feb,30,Premium,399,3,44.5,9,0,No,Documentary,No,Mobile,4,1,31.9,9,UPI,0
OTT1005,Feb,3,Basic,199,5,31.6,0,5,Yes,Horror,Yes,Smart TV,4,1,72.0,30,UPI,1
OTT1006,Jan,15,Basic,,5,63.7,1,22,Yes,Horror,Yes,Laptop,2,0,51.7,13,Net Banking,1
OTT1007,Apr,18,Basic,,3,34.7,9,4,No,Action,Yes,Smart TV,2,0,44.1,23,Net Banking,0
OTT1008,Jun,35,Basic,399,5,30.4,1,8,Yes,Comedy,No,Mobile,2,1,31.1,12,Net Banking,0
OTT1009,Jul,10,Premium,399,1,38.4,1,6,Yes,Documentary,No,Smart TV,,1,38.1,56,Net Banking,0
OTT1010,Jan,8,Basic,199,2,45.5,2,21,No,Drama,No,Mobile,4,2,16.3,19,UPI,1
OTT1011,Apr,28,Standard,199,4,35.7,5,19,Yes,Sci-Fi,No,Smart TV,3,1,75.6,49,Net Banking,0
OTT1012,Apr,33,Standard,599,2,44.5,4,13,Yes,Action,No,Tablet,5,0,61.8,44,Credit Card,0
OTT1013,Jun,17,Standard,199,5,44.8,,12,Yes,Action,No,Laptop,4,1,71.6,54,UPI,0
OTT1014,Apr,13,Standard,399,5,10.8,4,25,Yes,Horror,No,Smart TV,2,1,63.4,4,Credit Card,1
OTT1015,Jul,19,Basic,599,2,47.5,6,16,No,Documentary,No,Smart TV,1,0,57.1,36,UPI,1
OTT1016,May,15,Standard,199,2,27.8,0,15,Yes,Action,No,Laptop,3,0,66.2,30,,0
OTT1017,Apr,11,Standard,399,3,17.1,6,29,Yes,Drama,No,Mobile,3,1,76.3,48,Credit Card,1
OTT1018,Jun,33,,199,3,29.2,1,10,Yes,Action,No,,5,0,112.0,28,Net Banking,0
OTT1019,Feb,12,Basic,199,4,39.5,1,2,No,Action,Yes,Laptop,4,0,49.1,10,Debit Card,0
OTT1020,May,16,Standard,199,2,18.4,2,9,Yes,Documentary,No,Laptop,1,0,46.2,3,Net Banking,0
